z,feature,expression,mils,link:feature,link:expression,is_metadata,display_type,trait_type,value,path
0,Background,Deep Blue,1,,,1,string,Background,Deep Blue,1-layers/Background/Deep Blue.png
0,Background,Earthy Beige,1,,,1,string,Background,Earthy Beige,1-layers/Background/Earthy Beige.png
0,Background,Forest Green,1,,,1,string,Background,Forest Green,1-layers/Background/Forest Green.png
0,Background,Plum,1,,,1,string,Background,Plum,1-layers/Background/Plum.png
0,Background,Rosy Pink,1,,,1,string,Background,Rosy Pink,1-layers/Background/Rosy Pink.png
0,Background,Salmon Pink,1,,,1,string,Background,Salmon Pink,1-layers/Background/Salmon Pink.png
0,Background,Sky Blue,1,,,1,string,Background,Sky Blue,1-layers/Background/Sky Blue.png
0,Background,The Moon,1,,,1,string,Background,The Moon,1-layers/Background/The Moon.png
0,Background,Wine,1,,,1,string,Background,Wine,1-layers/Background/Wine.png
0,Background,Yellow Ochre,1,,,1,string,Background,Yellow Ochre,1-layers/Background/Yellow Ochre.png
10,Base,Default,1,,,0,,,,1-layers/Base.png
20,Body,77 Jersey,1,,,1,string,Body,77 Jersey,1-layers/Body/77 Jersey.png
20,Body,Atm,1,,,1,string,Body,Atm,1-layers/Body/ATM.png
20,Body,Aviator Jacket,1,,,1,string,Body,Aviator Jacket,1-layers/Body/Aviator Jacket.png
20,Body,Backpack,1,,,1,string,Body,Backpack,1-layers/Body/Backpack.png
20,Body,Barbed Wire Belt,1,,,1,string,Body,Barbed Wire Belt,1-layers/Body/Barbed Wire Belt.png
20,Body,Bath Robes,1,,,1,string,Body,Bath Robes,1-layers/Body/Bath Robes.png
20,Body,Big Puffer Jacket,1,,,1,string,Body,Big Puffer Jacket,1-layers/Body/Big Puffer Jacket.png
20,Body,Biohazard Suit,1,,,1,string,Body,Biohazard Suit,1-layers/Body/Biohazard Suit.png
20,Body,Black Belt,1,,,1,string,Body,Black Belt,1-layers/Body/Black Belt.png
20,Body,Black F Hoodie,1,,,1,string,Body,Black F Hoodie,1-layers/Body/Black F Hoodie.png
20,Body,Black Hoodie,1,,,1,string,Body,Black Hoodie,1-layers/Body/Black Hoodie.png
20,Body,Black Jacket,1,,,1,string,Body,Black Jacket,1-layers/Body/Black Jacket.png
20,Body,Black Puffer Jacket With Brown Pants,1,,,1,string,Body,Black Puffer Jacket With Brown Pants,1-layers/Body/Black Puffer Jacket with Brown Pants.png
20,Body,Blue Hoodie,1,,,1,string,Body,Blue Hoodie,1-layers/Body/Blue Hoodie.png
20,Body,Blue T Shirt,1,,,1,string,Body,Blue T Shirt,1-layers/Body/Blue T-Shirt.png
20,Body,Cacti,1,,,1,string,Body,Cacti,1-layers/Body/Cacti.png
20,Body,Camera Necklace,1,,,1,string,Body,Camera Necklace,1-layers/Body/Camera Necklace.png
20,Body,Camo Hoodie,1,,,1,string,Body,Camo Hoodie,1-layers/Body/Camo Hoodie.png
20,Body,Cat Chain,1,,,1,string,Body,Cat Chain,1-layers/Body/Cat Chain.png
20,Body,Ff Hoodie,1,,,1,string,Body,Ff Hoodie,1-layers/Body/FF Hoodie.png
20,Body,Fluid,1,,,1,string,Body,Fluid,1-layers/Body/Fluid.png
20,Body,Green T Shirt,1,,,1,string,Body,Green T Shirt,1-layers/Body/Green T-Shirt.png
20,Body,Jetpack,1,,,1,string,Body,Jetpack,1-layers/Body/Jetpack.png
20,Body,Jewels,1,,,1,string,Body,Jewels,1-layers/Body/Jewels.png
20,Body,Light Blue Jacket,1,,,1,string,Body,Light Blue Jacket,1-layers/Body/Light Blue Jacket.png
